,0,1,2,3
0,2020.12.31.,한겨레,"[ESC] 2020, 안녕!",코로나로 숨죽이며 납작해진 내 시간이 열기구처럼 부풀어 오르는 듯했다. 그와 인연을 맺은 때는 6년 전.... 하지만 그가 버텨서 결국 웃는 날을 맞이한 것처럼 우리도 버티면 그런 날이 오지 않을까. 행복은 견디는...
1,2020.12.30.,남도일보,2021년 소띠해 밝았다…근면과 풍요의 상징 '소',"조상들은 소를 식구처럼럼 아끼고 보살피며 일생을 소와 함께했다. 특히 소는 우직하고 성실한 면모 때문에 희생과 헌신, 풍요의 상징으로 여겨졌다. 소를 중시 여겼던 사람들은 정월 첫 번째 축일을 소날이라 부르며..."
2,2020.12.30.,소믈리에타임즈,"버번위스키부터 보드카까지, '2020 스피리츠(Spirits) BEST 10'","5,000원) 럼 / 어드미럴 로드니 HMS 포미더블(Admiral Rodney HMS Formidable) 점수: 96점 가격: 110달러(한화 약 12만 원) 라이위스키 / 미드윈터 나이트 드램 액트7 신6(A Midwinter Nights Dram Act 7 Scene..."
3,2020.12.30.,소믈리에타임즈,해외 온라인 주류 마켓에서 가장 많이 거래된 '술 BEST 20',말리부(Malibu) 럼 13. 캡틴 모건 스파이스드 골드(Captain Morgan's Spiced Gold) 테킬라 14. 카사미고스 아녜호(Casamigos Añejo) 보드카 15. 그레이 구스(Grey Goose) 16. 모스코프스카야(MOSKOVSKAYA)...
4,2020.12.29.,매일경제,홍지민 “코로나로 공연 와르르…수입 줄어 막막”,예전처럼럼 돌아갈 수 없으니 무조건 지출을 줄이고 모든 걸 가볍게 해야 한다고 생각했다”고 말했다. 요식업을 하는 남편의 사업 역시 타격이 크다고 밝혔다. “설상가상으로 남편도 요식업에 종사해 막막했다. ‘우리...
5,2020.12.29.,브릿지경제,"[비바100] 코로나19에 폐허가 된 무대, 그럼에도 ‘쇼 이즈 온!“","코로나19에 폐허가 된 무대, 그럼에도 ‘쇼 이즈 온!“ “매년 ‘이 보다 더 나쁠 수는 없다’고 하는데... 이 또한 대부분 극장이 고수하고 있는 ‘몇 개월 전 대관료 전액 완납’처럼 공연계의 오랜 고질병에서..."
6,2020.12.28.,스포츠한국,"하이네켄 ""글로벌 캠페인 영상 및 비어칵테일 레시피 공개""",기호에 따라 럼을 추가하여 개인의 입맞에 맞추어 도수를 조절할 수 있으며 가벼운 스낵류를 곁들이면 보다 풍부한 맛을 느낄 수 있다. 하이네켄에 청양고추를 더해 짜릿한 맛을 즐길 수 있는 ‘Red Hot Star’는...
7,2020.12.27.,매일경제,한 잔 술로 다독이는 마음-홀리데이 시즌을 위한 나만의 홈술,"기사에선 요리연구가 백종원이 ‘마이 리틀 텔레비전’에서 공개한, 구하기 쉬운 재료로 만든 모히또 레시피를 소개했지만, 실제로는 화이트럼과 라임, 소다수를 이용한다. ▶• 위스키를 즐기는 스테디셀러 레시피..."
8,2020.12.27.,쿠키뉴스,"하이네켄, 가족과 보내는 연말 응원…‘2020 홀리데이 캠페인’ 진행","기호에 따라 럼을 추가하여 개인의 입맞에 맞추어 도수를 조절할 수 있으며 가벼운 스낵류를 곁들이면 보다 풍부한 맛을 느낄 수 있다. 맥주 거품 위의 라즈베리와 민트, 시나몬스틱이 어우러져 마치 화이트..."
9,2020.12.26.,신동아언론사 선정,2020년을 달려온 내게 건네는 뜨겁고 달콤한 홈술,"소테른의 달콤함이 우아한 실크처럼 너울거린다면, 토카이는 좀 더 강건하고 직관적이다. 소테른은 여름에... 허브 리큐어는 보드카, 진, 럼 등을 증류한 뒤 허브액을 섞어 만든 술이다. 삼부카, 예거마이스트, 압생트..."
10,2020.12.25.,매일경제,특별한 크리스마스를 위한 장소-크리스마스에 어디 갈까?,"슈톨렌은 럼에 절인 건조 과일과 호두, 아몬드 등의 견과류, 마지팬을 넣고 만든 독일 케이크로 일명 ‘크리스마스빵’이라고도 불린다. 슈톨렌은 시간이 지날수록 속에 들어간 절인 과일과 버터의 풍미가 깊숙이..."
11,2020.12.25.,소믈리에타임즈,"전 세계인들의 축제, '크리스마스 음식' BEST 10","(Egg Nog) 우유와 계란을 활용한 마실 거리로, 계란 노른자, 설탕, 우유, 크림, 넛맥, 바닐라, 코코아 등을 넣고 선택적으로 브랜디, 럼, 위스키, 버번과 같은 증류주를 첨가하기도 한다. 크리스마스 시즌에 캐나다와..."
12,2020.12.25.,브릿지경제,"‘소맥 대신 칵테일 어때요?’...위스키업계, 연말 ‘홈술·홈파티’ 시장 공...","또한 페르노리카 코리아의 코코넛 럼 리큐르 말리부는 죠스떡볶이, 본챔스, 무신사와 함께 연말 홈파티족을 위한 협업 굿즈 컬렉션을 출시했다. 집에서 편안하게 입을 수 있는 스��셔츠, 파자마세트 등 의류 4종과..."
13,2020.12.25.,조선일보,[공복 김선생] 올 크리스마스 유럽 사람들이 먹을 빵과 케이크,덕분에 슈톨렌처럼 오랫동안 굳거나 상하지 않죠. 파네토네는 이탈리아 패션과 경제의 중심인 도시... 슈톨렌에 들어가는 견과류와 건과일은 럼에 한 달 동안 재워놨다가 사용합니다. 파네토네는 반죽을 발효시키려면 3...
14,2020.12.24.,허프포스트코리아,놀랍도록 아름다운 20가지 크리스마스 홀리데이 디저트 (화보),홈메이드 버터 럼 케이크 샐리의 베이킹 어딕션의 홈메이드 버터 럼 케이크 Sally's Baking Addiction 10. 진저브레드 레이어 케이크와 크림치즈 버터크림 컴플리틀리 딜리셔스의 진저브레드 레이어 케이크와...
15,2020.12.24.,소비자가 만드는 신문,"하이네켄, 가족의 소중함 전하는 '2020 홀리데이 캠페인' 진행","기호에 따라 럼을 추가해 개인의 입맞에 맞춰 도수를 조절할 수 있다. 'White H-Mas'는 맥주 거품 위의 라즈베리와 민트, 시나몬스틱이 어우러진 비어칵테일이다. 라즈베리의 달콤한 맛에 카나페와 같은 핑거푸드를..."
16,2020.12.24.,부산일보,"하이네켄, 가족의 소중함과 감사함을 전하는 캠페인 진행","기호에 따라 럼을 추가해 개인의 입맞에 맞춰 도수를 조절할 수 있으며 가벼운 스낵류를 곁들이면 보다 풍부한 맛을 느낄 수 있다. 맥주 거품 위의 라즈베리와 민트, 시나몬스틱이 어우러져 마치 화이트 크리스마스를..."
17,2020.12.24.,뷰어스,"'코로나19 버티는 힘은 가족' 하이네켄, 2020 홀리데이 캠페인 열어","기호에 따라 럼을 추가해 개인의 입맞에 맞추어 도수를 조절할 수 있으며 가벼운 스낵류를 곁들이면 보다 풍부한 맛을 느낄 수 있다. 맥주 거품 위의 라즈베리와 민트, 시나몬스틱이 어우러져 마치 화이트..."
